"Carrying Weight Limit, kg (lb)","","","",""
"Frequency","Distance, m (ft)","","",""
"One Carry Every","≤2.1 m (7 ft)",">2.1 to 4.2 m 
(7 to 14 ft)",">4.2 to 8.5 m 
(14 to 28 ft)",">8.5 to 15 m 
(28 to 50 ft)"
"15 seconds","11 (25)","11 (25)","9 (20)","7 (15)"
"30 seconds","11 (25)","11 (25)","9 (20)","7 (15)"
"1 minute","13 (28)","13 (28)","11 (25)","9 (20)"
"5 minutes","14 (30)","13 (28)","11 (25)","9 (20)"
