"Condition","Luminance Ratio"
"Optimal ambient lighting conditions","500:1"
"Viewing charts, printed text, and other line work","Not less than 5:1"
"Animation and photographs with limited luminance range","Not less than 25:1"
"For images that show a full range of colors (or grays in black-and-white photographs)","Not less than 100:1"
