"Type of Coding","","","","","",""
"Advantages 
Mode of 
Location 
Shape 
Size 
Labeling 
Color 
Operation","","","","","",""
"Disadvantages","","","","","",""
"May require extra space","X","X","X","X","X",""
"Affects manipulation of the control 
(ease of use)","X","X","X","X","",""
"Limited in number of available 
coding categories","X","X","X","X","","X"
"May be less effective if user wears 
gloves","","X","X","X","",""
"Controls must be viewed (i.e., must 
be within visual areas and 
illuminated)","","","","","X","X"
