"Exposure","Temperature Limits"
"","Metal 
Glass 
Plastic or Wood"
"Momentary contact","60 °C (140 °F) 
68 °C (154 °F) 
85 °C (185 °F)"
"Prolonged contact or handling","49 °C (120 °F) 
59 °C (138 °F) 
69 °C (156 °F)"
