"","Dimensions","Button Characteristics"
"","Width 
Length 
Height","Resistance 
Displacement"
"Minimum","40 mm (1.6 in) 
70 mm (2.8 in) 
25 mm (1 in)","0.5 N (1.8 oz) 
5 mm (0.20 in)"
"Maximum","70 mm (2.8 in) 
120 mm (4.7 in) 
40 mm (1.6 in)","1.5 N (5.4 oz) 
6 mm (0.24 in)"
