"Function","Control","","","","","","","","",""
"","Selector 
Switch","Round 
Knob","Discrete 
Thumb 
Wheel","Cont. 
Thumb 
Wheel","Crank","Push 
Button","Toggle 
Switch","Rocker 
Switch","Lever","Joystick, 
Lever, 
Ball, 
Mouse"
"Select power state ON-OFF","3","--","--","--","--","1","2","2","1a","--"
"3-state (OFF-STBY-ON)","1","2","--","--","--","--","2","3","--","--"
"Select between OFF/prime 
mode/secondary mode(s)","1","--","--","--","--","2","3","3","1a","--"
"Select one or more of N-related functions","--","--","--","--","--","1","2","2","--","--"
"Select one of N mutually exclusive 
functions of any order","--","--","--","--","--","1","--","--","--","--"
"Select one of 3 to 24 discrete alternatives 
– sequential order","1","--","--","--","--","--","--","--","--","--"
"Select digit – discrete","2b","--","2b","--","--","1c","--","--","--","--"
"Set value on – continuous scale","--","1","--","2","3","--","--","--","3","--"
"Select value in – discrete steps","1","--","1","--","--","1","--","--","--","--"
"Select operating condition","2","--","--","--","--","1","1","1","2","--"
"Enter alphanumeric data","--","--","--","--","--","1c","--","--","--","--"
"Initiate test subfunction (momentary)","3","--","--","--","--","1","1","2","--","--"
"Initiate directional function","3","--","--","3","--","2d","1","1d","1","2"
"Generate stepping impulse 
(momentary hold)","--","--","--","--","--","1","1","2","--","--"
"Slew counters or other numeric readout","--","1e","--","--","1f","1","1","--","--","--"
"Reset mechanical counter, manual","--","1","3","1","--","--","--","--","--","--"
"Interrupt sequence, “hold”","--","--","--","--","--","1","2","2","--","--"
"Engage – disengage mechanical function","--","--","--","--","--","--","--","--","1","--"
"Adjust light level, continuous","--","1","3","1","--","--","--","2","3","--"
"Adjust sound level, continuous","--","1","3","1","--","--","--","2","3","--"
