"Frequency (Hz)","Maximum Current (mA) 
(AC + DC Components Combined)"
"DC","40.0"
"15 to 2,000","8.5"
"3,000","13.5"
"4,000","15.0"
"5,000","16.5"
"6,000","17.9"
"7,000","19.4"
"8,000","20.9"
"9,000","22.5"
">10,000","24.3"
