"","Toggle Switches","Push Buttons 2/","Continuous 
Rotary 
Controls","Rotary Selector 
Switches","Discrete 
Thumbwheel 
Controls"
"Toggle Switches","See figure 16","13 mm (0.5 in)","19 mm (0.75 in)","19 mm (0.75 in)","13 mm (0.5 in)"
"Push Buttons 2/","13 mm (0.5 in)","See figure 14","13 mm (0.5 in)","13 mm (0.5 in)","13 mm (0.5 in)"
"Continuous 
Rotary Controls","19 mm (0.75 in)","13 mm (0.5 in)","See figure 12","25 mm (1 in)","19 mm (0.75 in)"
"Rotary Selector 
Switches","19 mm (0.75 in)","13 mm (0.5 in)","25 mm (1 in)","See figure 6","19 mm (0.75 in)"
"Discrete 
Thumbwheel 
Controls","13 mm (0.5 in)","13 mm (0.5 in)","19 mm (0.75 in)","19 mm (0.75 in)","See figure 8"
"NOTES: 
1/ 
All values are for one-hand operation.  All values are for bare-handed operation. 
2/ 
For push buttons not separated by barriers.","","","","",""
