"Sitting Workstations","Standing Workstations","Sit-Stand Workstations"
"The performance of fine motor 
skills is not as good when people 
stand rather than sit.","User’s arms can apply more 
muscular force and make larger 
movements when at a standing 
workstation (see 5.10.3.8.2.6.2.c).","N/A"
"N/A","Standing saves space; the users 
can use flat working surfaces 
without requiring additional knee 
room.","N/A"
