"Type","Angle of Ascent 
(Degrees)","Preferred Angle of Ascent 
(Degrees)"
"Vertical ladders","75 to 90","90"
"Inclined stairs","50 to 75","Not recommended"
"Stairs","30 to 50","38"
"Ramps for personnel","7 to 15","7 to 8"
"Ramps for material handling","4 to 7","4"
